ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
BF/B UN Equity,32203.26238,4034,4034,1574,2460,,1258,1258,87,80,1338,,80,6,13,1171,276,895,895,899,0,2248,924,-157,767,3923,6521,1110,3714,2807,-146,-1045,767,899,-146,-146,0,0,5055
BIIB UW Equity,41250.64096,10363.2,10358.2,2367.5,7995.7,6524.8,3353.8,3603.8,-39.2,1162.6,4516.4,,258.1,42.2,-238.4,3756.9,1021.7,2864.7,2865.4,5771.4,-8.7,6634,2397.6,-205.5,2192.1,9765.8,24854.2,3926.4,12087.4,12766.8,1605,-1868.8,2192.1,3675.6,1605,1605,0,-8.7,19400.8
BIO UN Equity,11253.29358,2804.73,2804.73,1230.396,1574.334,,463.418,502.159,8304.538,131,647.718,697.7904,26.795,,8272.399,531.864,-1806.432,-6034.688,-6034.688,1850.123,0,1389.574,261.951,-110.464,151.487,3140.155,12058.462,570.677,3604.857,8453.605,-1692.762,1084.535,151.487,517.943,-1692.762,-1692.762,0,0,9843.179
BK UN Equity,34529.72041,17999,16445,,,,3708,,,1716,,,,2468,0,4488,822,2675,2675,149507,4997,66810,15273,-1363,13910,,427953,,388057,39896,14681,-31307,13910,112134,14681,14681,4838,159,106706
BKNG UW Equity,71787.51848,16022,16022,,,11417,4605,,1318,425,5030,4994,321,92,1158,,846,2441,2441,11787,0,9470,4660,-394,4266,12410,22063,8543,18393,3670,-1811,-5466,4267,9021,-1811,-1811,0,0,13140
BKR UW Equity,31237.28271,20736,20770,16467,4269,19639,1097,1798,732,1079,2240,2878,,,450,1416,795,-491,-490,2851,-1554,6655,1764,-888,876,14335,33165,9465,18798,14367,-831,-2008,1103,2851,-831,-831,0,223,21022
BLK UN Equity,103898.3333,18642,18642,,,11645,6830,7131,,418,7248,,208,0,82,6748,1429,5562,5562,6797,955,8364,4900,-525,4375,,115430,,77313,38117,-1072,-4270,4375,6797,-1072,-1072,0,955,46481
BMY UN Equity,170390.4889,46738,46738,9900,36838,38517,8898,20630,1186,10334,19232,19987,1261,0,-1466,19987,1020,6677,6677,9027,63,40110,13817,-1092,12725,26796,98196,18930,65462,32734,-1874,-17865,12725,7734,-1874,-1874,0,63,72844
BR UN Equity,16065.83471,5799.5,5799.5,4193.3,1606.2,5055.3,744.1,1039.7,94.7,452.7,1245.4,,92.8,3.8,5.7,823.8,127.1,522.3,522.3,227.1,0,4328,374.1,-28.8,345.3,1222.1,8090.6,991.7,6186.9,1903.7,-87.6,-378.6,179.9,227.1,-87.6,-87.6,0,0,6231.7
BRK/B UN Equity,646381.2077,253887,295722,223485,30402,258989,-899,,2935,10846,9947,,4203,,6781,65306,-3353,-1337,-1337,462441,8317,116496,34818,-14939,19879,555005,902296,282213,438549,463747,-64198,-7905,19879,108958,-64198,-64198,0,8317,580243
