indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
CB UN,88505.32271,2128,0,16313,42223,#VALUE!,#VALUE!,6142,11192,0,11192,8001,#VALUE!,198111,#VALUE!,150472,47639,-8110,-2614,42752.0001,11192,2128,#VALUE!,#VALUE!,#VALUE!,#VALUE!,282,#VALUE!,542,#VALUE!,0,6497,1317,6142,-8110,-2326
CBOE UF,13271.94098,380.7,0,2009.8,1675.1,#VALUE!,653,241.6,106.1,-46.1,60,459.7,1897,7297.4,1545.2,4003.6,3293.8,-960.8,178.8,1675.1,60,353.3,#VALUE!,1215.4,1062,52.4,164.1,1106.2,54.4,2.6,0.6,1014.4,166.1,240.2,-960.8,220.9
CBRE UN,23873.07076,1125.011,703.817,4323.038,31183.974,6859.051,2476.146,2018.25,1978.866,-249.438,1729.428,1860.475,8589.957,20215.33,7755.653,11575.686,8639.644,-1329.24,-2302.697,31184.15,1729.428,1125.011,24324.923,29575.441,1951.147,-654.184,615.671,3245.068,66.737,0,-165.748,2514.659,483.918,2018.619,-1329.24,-1978.226
CCI UN,60068.09113,174,0,27768,6876,#VALUE!,4026,1614,2772,-1258,1514,2335,#VALUE!,38861,#VALUE!,31182,7679,-1367,-1598,6876,1514,174,#VALUE!,#VALUE!,2370,706,1691,4234,670,#VALUE!,36,1665,15,1614,-1367,820
CCL UN,11739.74793,7071,0,35285,9616,8378,-2877,-7115,-1921,-4246,-6167,-5136,8432,51917,12955,43538,8379,-3475,5175,9616,-6167,7071,1238,#VALUE!,#VALUE!,1966,2259,-2560,1508,35,493,-6727,13,-7115,-3475,5268
CDAY UN,10043.56826,408.4,0,1261.4,1192.2,442,65.1,-77.7,90.7,-14.6,76.1,-26.5,5007.2,8006.4,4675.7,5955.2,2051.2,-495.6,-808.7,1192.2,76.1,408.4,750.2,#VALUE!,91.8,44.4,82.6,221.4,30.3,0,0.4,1.7,6.8,-77.7,-495.6,-780.2
CDNS UW,45234.70673,1026.051,0,797.799,3434.877,3087.076,1191.773,785.139,1194.116,-101.616,1092.5,1058.249,1670.483,4968.087,1256.994,2259.959,2708.128,-697.537,-484.347,3434.877,1095,1026.051,347.801,2376.628,1295.817,29.357,133.524,1290.571,18.103,0,11.254,1105.52,243.753,785.139,-697.537,-415.551
CDW UW,25592.95716,384.6,0,6337.8,23847.3,4481.1,1897.2,1042.6,1241.9,-131,1110.9,1627.9,6895.2,13475.6,5358.8,12149.6,1326,-2524.9,1422.5,23847.3,1110.9,384.6,19366.2,#VALUE!,1951.9,234,269.3,2102.6,#VALUE!,#VALUE!,14.3,1723.5,351.3,1042.6,-2524.9,1434.2
CE UN,11303.6264,9671,344,12542,9600,2717,2260,1651,1862,-563,1299,1842,13192,21337,2788,16043,5294,-1714,8183,9600,1068,9671,6883,#VALUE!,2184,-206,418,2909,258,37,-69,2196,378,1670,-1714,8247
CEG UW,31343.40376,1192,255,5354,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9853,46616,7887,35447,11169,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1192,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CF UN,21443.5089,2192,2653,3246,11118,5760,6195,3191,4750,-451,4299,5305,3680,13280,1381,6183,7097,-391,-2924,11118,4299,2192,5358,529,4894,379,890,5842,413,57,33,4926,1139,3191,-391,-2897
CFG UN,20369.42665,8421,2050,16549,8108,#VALUE!,#VALUE!,1837,3783,-206,3577,2511,#VALUE!,224684,#VALUE!,201538,23146,-19978,10639,7572,3577,1235,#VALUE!,#VALUE!,#VALUE!,#VALUE!,620,#VALUE!,#VALUE!,5239,0,2981,561,1837,-19978,10639
CHD UN,19068.06665,437.6,0,2686,5308.3,2228.7,1218.6,736.7,874.3,-152.8,721.5,972.6,1564.4,8287.8,1450.6,4600,3687.8,-713,96.3,5308.3,721.5,437.6,3079.6,#VALUE!,972.6,61.3,214.8,1187.4,72.6,0,2.5,911.3,174.6,736.7,-713,107.3
CHRW UW,11422.52688,187.532,0,2562.707,26131.652,1965.68,1570.864,1074.429,952.644,-58.413,894.231,1390.154,4433.366,6795.53,3358.878,5117.969,1677.561,-55.804,-911.957,26131.652,894.231,187.532,24165.972,22804.293,1390.154,75.939,91.361,1481.515,#VALUE!,#VALUE!,75.939,1314.215,239.786,1074.429,-55.804,-896.356
CHTR UW,69600.9185,480,0,97032,53560,28732,20951,5469,15364,-8528,6836,11878,3754,143669,11595,131319,12350,-8338,-7012,53560,7251,480,24828,41682,12480,4162,8991,21513,4363,0,-201,7716,1418,5469,-8338,-7012
CI UN,97915.97641,7862,92,32079,180453,23509,11171,6615,10832,-1254,9578,8226,30170,144209,41115,99076,45133,3837,-11092,180575,9578,7079,156944,172227,#VALUE!,-111,2945,#VALUE!,1197,0,-1308,9931,1656,6615,3837,-10975
